"jump_grad_press","jump_grad_dens","kappa_max","kappa","diffusion","sigma_a","sigma_t","ObjectId","GlobalElementId","PedigreeElementId","Cell Type"
2.8828689835336263059e-07,2.9979297323734499514e-05,4.3404675435168847989e-05,5.8716519790802627025e-13,0.17308525632422114282,577.35026919996107608,577.35026919996107608,0,1,1,3
5.7656254881521817879e-07,5.9958491874567698687e-05,4.3404675435168712464e-05,5.8715622633235293533e-13,0.17308525632419510809,577.35026920004793283,577.35026920004793283,0,2,2,3
5.7653898011267301627e-07,5.9958230849588289857e-05,4.3404675435175881751e-05,5.8714553343285059646e-13,0.17308525632422258611,577.35026919995618755,577.35026919995618755,0,3,3,3
5.7651428164717799518e-07,5.9957894336548633873e-05,4.3404675435168732793e-05,5.8713356643714180038e-13,0.17308525632419452522,577.3502692000498655,577.3502692000498655,0,4,4,3
5.7648941265142639168e-07,5.9957546909572556615e-05,4.3404675435168834437e-05,5.8712229641154918057e-13,0.17308525632422100404,577.35026919996153083,577.35026919996153083,0,5,5,3
5.7646432338742670254e-07,5.9957241319352760911e-05,4.3404675435168705688e-05,5.8711037906797491799e-13,0.17308525632419161089,577.35026920005952888,577.35026920005952888,0,6,6,3
5.7643956807851282065e-07,5.9957021221634931862e-05,4.3404675435175881751e-05,5.8709974918269935866e-13,0.173085256324220782,577.35026919996232664,577.35026919996232664,0,7,7,3
5.7641530304408661323e-07,5.9956832956231664866e-05,4.3404675435168692135e-05,5.8708979643185228417e-13,0.17308525632419022311,577.35026920006430373,577.35026920006430373,0,8,8,3
5.7639139328102828586e-07,5.9956572840746957809e-05,4.3404675435168814108e-05,5.8707872958834190818e-13,0.17308525632421795093,577.35026919997164896,577.35026919997164896,0,9,9,3
5.763683361692528706e-07,5.9956307268294040114e-05,4.3404675435168685359e-05,5.8706799407037415442e-13,0.17308525632419238804,577.35026920005691409,577.35026920005691409,0,10,10,3
5.7634579064824720263e-07,5.9956111726933158934e-05,4.3404675435175888527e-05,5.8705887592623678489e-13,0.17308525632422025464,577.35026919996403194,577.35026919996403194,0,11,11,3
