"epsilon","mach_number","pressure","rad_temp","rho","rhoE","rhou","temperature","GlobalNodeId","PedigreeNodeId","Points:0","Points:1","Points:2"
1.6527077070971071349e-05,1.0499768504337616548,0.099160904547850398094,0.18629898348958151555,5.516585814213333272,0.23984546407879678287,1.0025803376666369005,0.18629825398088784016,1,1,-0.023103788495063781738,0,0
1.6527083232250413294e-05,1.0499735182884570861,0.099161207628175512818,0.18629900085260212017,5.5165943894491640265,0.23984561889728597817,1.002579467265558133,0.186298533801098537,2,2,-0.022872751578688621521,0,0
1.6527098610021077944e-05,1.0499723945949726023,0.099161449590155895106,0.18629904418847495484,5.5166023157234898022,0.23984600913433762326,1.0025803377044306686,0.18629872071067571371,3,3,-0.022641712799668312073,0,0
1.6527120335185856273e-05,1.0499704473669511096,0.099161583241072409622,0.18629910541179572903,5.5166057624365727463,0.23984599448764912233,1.0025794672099510585,0.18629885540868870719,4,4,-0.022410675883293151855,0,0
1.652714691542446997e-05,1.0499700488388248321,0.099161736520974042008,0.186299180317036156,5.5166110030057549096,0.23984629607307492161,1.0025803377500568381,0.1862989664047544347,5,5,-0.022179637104272842407,0,0
1.6527177627660321658e-05,1.0499684485640896625,0.099161827707812608135,0.18629926686646308687,5.5166131650610674697,0.23984623892897236064,1.0025794671616836684,0.18629906470714624467,6,6,-0.02194860018789768219,0,0
1.6527212210723351692e-05,1.0499681796141830947,0.099161965157981313279,0.18629936432403235158,5.5166179255666945025,0.23984652471497425186,1.0025803377964193075,0.1862991621749800486,7,7,-0.021717561408877372742,0,0
1.6527250660016041417e-05,1.0499665787152057117,0.099162056396983166984,0.1862994726767364384,5.5166200901811786039,0.23984646759016142736,1.0025794671146135428,0.18629926048874820288,8,8,-0.021486522629857063293,0,0
1.6527293146896415444e-05,1.0499662300955092675,0.099162203612785437823,0.18629959240741553184,5.5166251455588719566,0.23984676317209871477,1.0025803378434794411,0.18629936634532867634,9,9,-0.021255485713481903076,0,0
1.6527339941054702312e-05,1.0499644958812326401,0.099162311134653513545,0.18629972427600530183,5.5166278041509881902,0.23984672229704961932,1.002579467067372887,0.18629947856815340379,10,10,-0.021024446934461593628,0,0
1.6527391402195247322e-05,1.0499639764913879514,0.099162479259579425217,0.18629986929609224089,5.5166334918022883471,0.23984703881845509388,1.0025803378915840725,0.18629960235479148256,11,11,-0.020793410018086433411,0,0
1.6527447943215895458e-05,1.0499620396884006279,0.099162611537518999261,0.18630002863114678013,5.5166369009337836715,0.23984702266584939645,1.0025794670195218306,0.18629973574118999236,12,12,-0.020562371239066123962,0,0
1.652751004537438058e-05,1.0499612907484534574,0.099162807761651247662,0.18630020363725846577,5.5166434385744205215,0.23984736731687425482,1.0025803379410800353,0.18629988361353461146,13,13,-0.020331334322690963745,0,0
1.6527578234817784456e-05,1.0499590965739935555,0.099162971496282822925,0.18630039579698945418,5.5166478011490420741,0.23984738258661969512,1.0025794669708780749,0.18630004389975923784,14,14,-0.020100295543670654297,0,0
1.6527653105894506386e-05,1.0499580633975902355,0.099163202509069764412,0.18630060678506243921,5.5166553913463713954,0.23984776205680019556,1.0025803379923725611,0.18630022158434139667,15,15,-0.01986925862729549408,0,0
1.6527735302427730153e-05,1.0499555549181966985,0.099163404664082313578,0.18630083841558126023,5.5166609182433798964,0.23984781571170166181,1.0025794669213554666,0.18630041473139921648,16,16,-0.019638219848275184631,0,0
1.6527825544459987894e-05,1.0499541767143543147,0.099163677901860786124,0.18630109271738878873,5.5166697861891709209,0.23984823743748159841,1.0025803380459727965,0.18630062859373799911,17,17,-0.019407182931900024414,0,0
1.6527924611650823052e-05,1.0499512881939239151,0.099163926517750300427,0.18630137188727069475,5.51667672090368022,0.239848337516961857,1.0025794668709360202,0.1863008614840068744,18,18,-0.019176144152879714966,0,0
1.6528033372134948777e-05,1.0499494933201012348,0.099164250744493490086,0.18630167837126482278,5.5166871320009525093,0.23984881026244478375,1.0025803381025695238,0.18630111902568202709,19,19,-0.018945107236504554749,0,0
1.652815276734155743e-05,1.0499461464481012474,0.099164555400023071674,0.18630201482186703466,5.5166957646200875942,0.23984896634397093185,1.0025794668196905679,0.18630139985779084477,20,20,-0.0187140684574842453,0,0
1.6528283842756270238e-05,1.0499438490785744094,0.099164941115011090433,0.18630238418469868833,5.5167080368315053462,0.23984950060859408505,1.0025803381630791211,0.18630171006521489829,21,21,-0.018483031541109085083,0,0
1.6528427734092782325e-05,1.0499399497692161187,0.09916531331888039924,0.1863027896595167987,5.5167187158996942031,0.23984972419930353227,1.0025794667678207261,0.18630204868904465254,22,22,-0.018251992762088775635,0,0
1.6528585700141176497e-05,1.0499370466371749089,0.099165773155424657981,0.18630323479275159859,5.5167332318275281722,0.23985033261656887871,1.002580338228753698,0.1863024223744368657,23,23,-0.018020955845713615417,0,0
1.6528759110454249525e-05,1.0499324815985471293,0.099166226766152859584,0.18630372344277515428,5.5167463770687685809,0.23985063757309738053,1.0025794667157368334,0.18630283065012007149,24,24,-0.017789917066693305969,0,0
1.6528949480638262373e-05,1.0499288483108288883,0.099166775942697016344,0.18630425987930823717,5.5167635976238766915,0.23985133536167882462,1.0025803383012927839,0.18630328083713923459,25,25,-0.017558880150318145752,0,0
1.652915846182720396e-05,1.0499234810465085665,0.099167327658041884431,0.18630484875371286502,5.5167797147734543017,0.23985173837951487275,1.0025794666641749675,0.18630377305336529026,26,26,-0.017327841371297836304,0,0
1.6529387878885091779e-05,1.0499189677201552495,0.099167984512368315131,0.18630549520658445939,5.5168001953652430203,0.2398525438774735119,1.0025803383830391713,0.1863043154336235796,27,27,-0.017096804454922676086,0,0
1.6529639722021714521e-05,1.0499126337556743405,0.099168654453730881171,0.18630620484405790993,5.5168198938829577926,0.23985306507528353359,1.0025794666143679201,0.18630490880694547395,28,28,-0.016865765675902366638,0,0
1.6529916188480317421e-05,1.049907059786412189,0.099169441083569676021,0.18630698385519306459,5.5168443038376118182,0.23985400038068568906,1.0025803384772205007,0.18630556228723352263,29,29,-0.016634728759527206421,0,0
1.6530219676727806653e-05,1.0498995609335819434,0.099170253498342603171,0.18630783899550495963,5.5168683182003155352,0.23985466400256857944,1.0025794665683034346,0.18630627756187922994,30,30,-0.016403689980506896973,0,0
1.6530552832316328441e-05,1.0498927087032652317,0.099171196532089528342,0.18630877771607026738,5.5168974641282320093,0.23985575574421791334,1.0025803385883473862,0.18630706492221613124,31,31,-0.016172651201486587524,0,0
1.6530918545170280117e-05,1.0498838061573783076,0.099172180639138088343,0.18630980815573916498,5.5169266794677414012,0.23985659100507020214,1.0025794665291056784,0.18630792709176408062,32,32,-0.015941614285111427307,0,0
1.653132000044255792e-05,1.0498754134596821608,0.099173312163822219256,0.1863109392842577372,5.5169615334061132828,0.23985787127048960321,1.0025803387227278929,0.18630887577725871451,33,33,-0.015710575506091117859,0,0
1.6531760679525690707e-05,1.0498648194899999897,0.09917450317158198192,0.18631218090490825334,5.5169970163905510674,0.23985891337396630929,1.0025794665015914653,0.18630991495310744721,34,34,-0.015479538589715957642,0,0
1.6532244416877484684e-05,1.0498545704129420564,0.099175861850278351772,0.18631354381436807111,5.5170387497022144174,0.23986042082683073362,1.0025803388892429169,0.18631105802682032535,35,35,-0.015248500742018222809,0,0
1.6532775405507642047e-05,1.0498419383606865107,0.099177302182678339637,0.18631503981786554092,5.5170817857343994461,0.23986171219110286046,1.0025794664931035882,0.18631231048314697563,36,36,-0.015017462894320487976,0,0
1.6533358260927061214e-05,1.0498294523134810152,0.099178934599895948732,0.18631668190899017268,5.5171318099386699174,0.23986349341664972568,1.0025803391004488585,0.18631368777240028822,37,37,-0.014786425046622753143,0,0
1.6533998032007073641e-05,1.0498143645553450476,0.099180675372309040627,0.18631848429984848581,5.5171839479601620937,0.23986508515015597665,1.0025794665147109708,0.18631519720309192012,38,38,-0.014555387198925018311,0,0
1.6534700273414811402e-05,1.0497991830656812073,0.099182637653545069334,0.18632046262460960628,5.5172439639072825557,0.23986719627476849048,1.002580339374158358,0.18631685667799269268,39,39,-0.014324349351227283478,0,0
1.6535471062913052146e-05,1.0497811365335727452,0.09918474044936628764,0.18632263398760762207,5.5173070703560718187,0.23986914995255409488,1.0025794665829685925,0.18631867570792562394,40,40,-0.014093311503529548645,0,0
1.6536317083883166312e-05,1.049762707367604353,0.099187100210244141807,0.1863250171950564249,5.5173791274424237585,0.23987165859293499426,1.0025803397357277991,0.18632067513840477879,41,41,-0.013862273655831813812,0,0
1.6537245650331535508e-05,1.0497410961352071634,0.099189639218745892513,0.18632763282457426302,5.5174554512235491899,0.23987404839422188374,1.0025794667225036427,0.18632286713962642466,42,42,-0.013631235808134078979,0,0
1.6538264801373936478e-05,1.0497187542054922105,0.099192477910099552396,0.18633050349023452807,5.5175420186844927883,0.23987703600252338609,1.0025803402213728788,0.18632527608616267223,43,43,-0.013400197029113769531,0,0
1.6539383335441055768e-05,1.0496928485571928036,0.099195542498186281555,0.18633365393758571926,5.5176342693856144095,0.23987995128211919704,1.0025794669697660755,0.18632791735916767739,44,44,-0.013169159181416034698,0,0
1.6540610918903661845e-05,1.0496657929806922915,0.099198958226493619272,0.1863371113480158936,5.5177383221101230504,0.23988351596643181507,1.0025803408829125907,0.18633081956278352287,45,45,-0.012938121333718299866,0,0
1.6541958131224607757e-05,1.0496347142665969354,0.099202656031175937001,0.18634090546400106092,5.5178497641390693573,0.23988706434679374357,1.0025794673785004552,0.18633400195433111324,46,46,-0.012707083486020565033,0,0
1.6543436590240841785e-05,1.0496019808135126361,0.099206766949207492168,0.18634506893963784235,5.5179748859366251068,0.23989132426186735025,1.0025803417946643759,0.1863374982036095362,47,47,-0.0124760456383228302,0,0
1.6545059010288875039e-05,1.0495646712630617436,0.099211227594402054408,0.18634963750155797424,5.5181094517875912686,0.23989563534940935852,1.0025794680277113624,0.18634133224561374997,48,48,-0.012245007790625095367,0,0
1.6546839347020876208e-05,1.0495250992956226543,0.099216175975169448864,0.18635465035339920936,5.518259959615288146,0.23990073277069129398,1.0025803430633746238,0.18634554381252707578,49,49,-0.012013969942927360535,0,0
