"jump_grad_press","jump_grad_dens","kappa_max","kappa","diffusion","sigma_a","sigma_t","ObjectId","GlobalElementId","PedigreeElementId","Cell Type"
3.0823093766230158508e-06,0.0026473012403585016727,1.1079840039983573249e-05,9.4445218933191171675e-12,0.17308499190089626785,577.35026918962580567,577.35026918962580567,0,1,1,3
7.1006743382895365357e-06,0.0052686107228510081768,1.1079840293497009011e-05,8.8080655930033827913e-12,0.17308499190089626785,577.35026918962580567,577.35026918962580567,0,2,2,3
4.7275552788050845265e-06,0.0052598367910832166672,1.1079840546171860132e-05,9.3836520419480581973e-12,0.17308499190089626785,577.35026918962580567,577.35026918962580567,0,3,3,3
2.7129394766234327108e-06,0.0052673601603601127863,1.1079840798287488244e-05,8.767557318323213296e-12,0.17308499190089626785,577.35026918962580567,577.35026918962580567,0,4,4,3
3.638982434495119378e-06,0.005258726741885766387,1.1079841050087422093e-05,9.360446579201934337e-12,0.17308499190089626785,577.35026918962580567,577.35026918962580567,0,5,5,3
1.6501376194355543703e-06,0.0052661385270766913891,1.107984130185010174e-05,8.7644592061438512228e-12,0.17308499190089626785,577.35026918962580567,577.35026918962580567,0,6,6,3
3.9758783714205492288e-06,0.0052575080189853906631,1.107984155381382635e-05,9.3744263423153886966e-12,0.17308499190089626785,577.35026918962580567,577.35026918962580567,0,7,7,3
5.9196599977440200746e-06,0.0052648109558504074812,1.1079841806252133357e-05,8.798401280907242571e-12,0.17308499190089626785,577.35026918962580567,577.35026918962580567,0,8,8,3
8.2343153735564555973e-06,0.0052562168857548385859,1.1079842059403872498e-05,9.4253032229327905075e-12,0.17308499190089626785,577.35026918962580567,577.35026918962580567,0,9,9,3
1.0200466022070031613e-05,0.0052635063766501843929,1.1079842313543911047e-05,8.8691463615180804191e-12,0.17308499190089626785,577.35026918962580567,577.35026918962580567,0,10,10,3
1.2515039088611956686e-05,0.0052549134707078337669,1.1079842568907859689e-05,9.5129224827811353848e-12,0.17308499190089626785,577.35026918962580567,577.35026918962580567,0,11,11,3
1.448206194254453294e-05,0.0052622120419982820749,1.1079842825767880274e-05,8.9766328646019373523e-12,0.17308499190089626785,577.35026918962580567,577.35026918962580567,0,12,12,3
1.6803728613012935966e-05,0.0052536197181325405836,1.107984308436222623e-05,9.637291954738561431e-12,0.17308499190089626785,577.35026918962580567,577.35026918962580567,0,13,13,3
1.8782657662086421624e-05,0.0052609946578741073608,1.1079843344966513606e-05,9.1209241861843602172e-12,0.17308499190089626785,577.35026918962580567,577.35026918962580567,0,14,14,3
2.1119086795806651935e-05,0.0052523505291901528835,1.1079843607817164546e-05,9.7985758358872579727e-12,0.17308499190089626785,577.35026918962580567,577.35026918962580567,0,15,15,3
2.3116817374102538452e-05,0.0052597791946027427912,1.1079843873191101225e-05,9.3022558821721862566e-12,0.17308499190089626785,577.35026918962580567,577.35026918962580567,0,16,16,3
2.547949088693712838e-05,0.005251033959211781621,1.1079844141328901329e-05,9.9970577017551404401e-12,0.17308499190089626785,577.35026918962580567,577.35026918962580567,0,17,17,3
2.7504037916514789686e-05,0.0052585770899895578623,1.107984441250978588e-05,9.5210116257009594024e-12,0.17308499190089626785,577.35026918962580567,577.35026918962580567,0,18,18,3
2.9899932542321039364e-05,0.0052497104043141007423,1.1079844686977639382e-05,1.0233197188973594038e-11,0.17308499190089626785,577.35026918962580567,577.35026918962580567,0,19,19,3
3.1962051707523642108e-05,0.0052573637804016470909,1.1079844965015697792e-05,9.7777096487182611698e-12,0.17308499190089626785,577.35026918962580567,577.35026918962580567,0,20,20,3
3.4398989100736798719e-05,0.0052483060862869024277,1.1079845246872385711e-05,1.0507594629705072296e-11,0.17308499190089626785,577.35026918962580567,577.35026918962580567,0,21,21,3
3.6507537970464909449e-05,0.0052561378979589790106,1.1079845532835792596e-05,1.0073026793628868841e-11,0.17308499190089626785,577.35026918962580567,577.35026918962580567,0,22,22,3
3.8994951864879112691e-05,0.0052469331130851060152,1.1079845823159630225e-05,1.0821011061177061491e-11,0.17308499190089626785,577.35026918962580567,577.35026918962580567,0,23,23,3
4.1156401948683196679e-05,0.00525497269700281322,1.1079846118138417038e-05,1.0407786798432295429e-11,0.17308499190089626785,577.35026918962580567,577.35026918962580567,0,24,24,3
4.3706018459488404915e-05,0.0052455032709985971451,1.1079846418032264992e-05,1.1174326992839149531e-11,0.17308499190089626785,577.35026918962580567,577.35026918962580567,0,25,25,3
4.5929550651635508984e-05,0.0052537189330905675888,1.1079846723142558576e-05,1.0782987946705481699e-11,0.17308499190089626785,577.35026918962580567,577.35026918962580567,0,26,26,3
4.8547578899160725996e-05,0.0052439512801356613636,1.1079847033736731502e-05,1.1568604283099611846e-11,0.17308499190089626785,577.35026918962580567,577.35026918962580567,0,27,27,3
5.0845174428104655817e-05,0.005252472445135936141,1.1079847350126625726e-05,1.1199747823280754947e-11,0.17308499190089626785,577.35026918962580567,577.35026918962580567,0,28,28,3
5.3539864893537014723e-05,0.00524251701426692307,1.1079847672585111217e-05,1.2005083007635876386e-11,0.17308499190089626785,577.35026918962580567,577.35026918962580567,0,29,29,3
5.5919749684107955545e-05,0.0052514085546135902405,1.1079848001433811468e-05,1.1659344664427073285e-11,0.17308499190089626785,577.35026918962580567,577.35026918962580567,0,30,30,3
5.8703119520941982046e-05,0.0052411073120310902596,1.1079848336957575188e-05,1.2485119946104468019e-11,0.17308499190089626785,577.35026918962580567,577.35026918962580567,0,31,31,3
6.1173573158157523721e-05,0.0052502992621157318354,1.1079848679488395248e-05,1.2163264636911470148e-11,0.17308499190089626785,577.35026918962580567,577.35026918962580567,0,32,32,3
6.4054572703753365204e-05,0.0052396237151697278023,1.1079849029319126512e-05,1.3010249017272444452e-11,0.17308499190089626785,577.35026918962580567,577.35026918962580567,0,33,33,3
6.662674468316254206e-05,0.0052492038521450012922,1.1079849386795807351e-05,1.2713117377220121619e-11,0.17308499190089626785,577.35026918962580567,577.35026918962580567,0,34,34,3
6.9615139636880485341e-05,0.0052381467248778790236,1.1079849752222749597e-05,1.3582186281344259797e-11,0.17308499190089626785,577.35026918962580567,577.35026918962580567,0,35,35,3
7.2298590566788334399e-05,0.0052481220918707549572,1.107985012595893259e-05,1.3310696049719475874e-11,0.17308499190089626785,577.35026918962580567,577.35026918962580567,0,36,36,3
7.5406072483019670472e-05,0.0052365778828971087933,1.1079850508322113963e-05,1.4202800367908766643e-11,0.17308499190089626785,577.35026918962580567,577.35026918962580567,0,37,37,3
7.8211289746832335368e-05,0.0052469845395535230637,1.1079850899685072917e-05,1.3957983993688234435e-11,0.17308499190089626785,577.35026918962580567,577.35026918962580567,0,38,38,3
8.1446738022350473329e-05,0.0052349629404488950968,1.1079851300380217367e-05,1.4874163953269254426e-11,0.17308499190089626785,577.35026918962580567,577.35026918962580567,0,39,39,3
8.4387029346544295549e-05,0.0052458943973761051893,1.1079851710795825522e-05,1.465712021283818174e-11,0.17308499190089626785,577.35026918962580567,577.35026918962580567,0,40,40,3
8.7761480244807898998e-05,0.0052334045467432588339,1.1079852131280085523e-05,1.5598540456557324612e-11,0.17308499190089626785,577.35026918962580567,577.35026918962580567,0,41,41,3
9.0845421709673246369e-05,0.0052449130453169345856,1.1079852562238131532e-05,1.5410451239663637044e-11,0.17308499190089626785,577.35026918962580567,577.35026918962580567,0,42,42,3
9.4373926003754604608e-05,0.0052318625093903392553,1.1079853004035302414e-05,1.6378354723921865675e-11,0.17308499190089626785,577.35026918962580567,577.35026918962580567,0,43,43,3
9.7613050911604659632e-05,0.0052439066639635711908,1.1079853457094172742e-05,1.6220539546331905955e-11,0.17308499190089626785,577.35026918962580567,577.35026918962580567,0,44,44,3
0.0001013045839499682188,0.0052301912510301917791,1.1079853921801399502e-05,1.7216248713627240721e-11,0.17308499190089626785,577.35026918962580567,577.35026918962580567,0,45,45,3
0.00010471478617546381429,0.0052428585186135023832,1.1079854398595379844e-05,1.7090120506808553683e-11,0.17308499190089626785,577.35026918962580567,577.35026918962580567,0,46,46,3
0.00010858271161851007491,0.0052285120473243296146,1.1079854887885274726e-05,1.8115100781897944218e-11,0.17308499190089626785,577.35026918962580567,577.35026918962580567,0,47,47,3
0.00011217382279937737621,0.0052418681152630597353,1.1079855390130048952e-05,1.8022167847724189156e-11,0.17308499190089626785,577.35026918962580567,577.35026918962580567,0,48,48,3
