"rho","rhou","rhoE","epsilon","velocity","internal_energy","pressure","temperature","rad_temp","mach_number","GlobalNodeId","PedigreeNodeId","Points:0","Points:1","Points:2"
1,23.4265,397.88,0.0137688,23.4265,123.48,82.32,1,2.92187,2,1,1,0,0,0
1.00006,23.4325,398.044,0.0137691,23.4311,123.52,82.3463,1.00026,2.92206,2.00013,2,2,4e-05,0,0
1,23.4265,397.881,0.0137695,23.4264,123.482,82.3214,1.00001,2.92188,1.99998,3,3,8e-05,0,0
1.00006,23.4325,398.046,0.0137699,23.431,123.522,82.3479,1.00028,2.92208,2.00011,4,4,0.00012,0,0
1.00001,23.4265,397.882,0.0137704,23.4263,123.484,82.3228,1.00003,2.92189,1.99996,5,5,0.00016,0,0
1.00006,23.4325,398.047,0.013771,23.431,123.524,82.3495,1.00029,2.92209,2.00009,6,6,0.0002,0,0
1.00001,23.4265,397.884,0.0137717,23.4263,123.486,82.3242,1.00004,2.9219,1.99994,7,7,0.00024,0,0
1.00007,23.4325,398.049,0.0137724,23.4309,123.527,82.351,1.00031,2.9221,2.00007,8,8,0.00028,0,0
1.00001,23.4265,397.885,0.0137732,23.4262,123.488,82.3256,1.00006,2.92192,1.99992,9,9,0.00032,0,0
1.00007,23.4325,398.051,0.013774,23.4309,123.529,82.3526,1.00033,2.92211,2.00005,10,10,0.00036,0,0
1.00002,23.4265,397.886,0.0137749,23.4261,123.491,82.3271,1.00007,2.92193,1.9999,11,11,0.0004,0,0
1.00007,23.4325,398.053,0.0137759,23.4308,123.531,82.3543,1.00034,2.92213,2.00003,12,12,0.00044,0,0
1.00002,23.4265,397.887,0.013777,23.426,123.493,82.3286,1.00009,2.92194,1.99987,13,13,0.00048,0,0
1.00007,23.4325,398.055,0.0137781,23.4308,123.534,82.3559,1.00036,2.92214,2,14,14,0.00052,0,0
1.00002,23.4265,397.888,0.0137793,23.4259,123.495,82.3301,1.0001,2.92195,1.99985,15,15,0.00056,0,0
1.00008,23.4325,398.057,0.0137806,23.4307,123.537,82.3577,1.00038,2.92215,1.99998,16,16,0.0006,0,0
1.00003,23.4264,397.89,0.0137819,23.4258,123.498,82.3317,1.00012,2.92196,1.99983,17,17,0.00064,0,0
1.00008,23.4325,398.059,0.0137834,23.4307,123.539,82.3595,1.0004,2.92217,1.99996,18,18,0.00068,0,0
1.00003,23.4264,397.891,0.0137849,23.4258,123.5,82.3334,1.00013,2.92197,1.99981,19,19,0.00072,0,0
1.00008,23.4325,398.061,0.0137865,23.4306,123.542,82.3613,1.00042,2.92218,1.99993,20,20,0.00076,0,0
1.00003,23.4264,397.893,0.0137881,23.4257,123.503,82.3351,1.00015,2.92198,1.99978,21,21,0.0008,0,0
1.00009,23.4325,398.063,0.0137899,23.4305,123.545,82.3633,1.00044,2.9222,1.99991,22,22,0.00084,0,0
1.00004,23.4264,397.894,0.0137917,23.4256,123.505,82.3369,1.00017,2.922,1.99975,23,23,0.00088,0,0
1.00009,23.4325,398.066,0.0137937,23.4305,123.548,82.3653,1.00046,2.92221,1.99988,24,24,0.00092,0,0
1.00004,23.4264,397.896,0.0137957,23.4255,123.508,82.3388,1.00019,2.92201,1.99973,25,25,0.00096,0,0
1.00009,23.4325,398.068,0.0137978,23.4304,123.551,82.3674,1.00048,2.92223,1.99985,26,26,0.001,0,0
