"rho","rhou","rhoE","epsilon","velocity","internal_energy","pressure","temperature","rad_temp","mach_number","GlobalNodeId","PedigreeNodeId","Points:0","Points:1","Points:2"
1.00047,23.4267,398.129,0.0143466,23.4157,123.854,82.5692,1.00256,2.92374,1.99653,45,45,0.00352,0,0
1.00051,23.4267,398.148,0.0143924,23.4149,123.881,82.5877,1.00274,2.92388,1.99627,46,46,0.0036,0,0
1.00054,23.4267,398.167,0.0144416,23.414,123.911,82.6075,1.00295,2.92402,1.99599,47,47,0.00368,0,0
1.00058,23.4267,398.189,0.0144943,23.4131,123.943,82.6288,1.00317,2.92418,1.9957,48,48,0.00376,0,0
1.00063,23.4267,398.211,0.0145509,23.4121,123.977,82.6516,1.0034,2.92435,1.99538,49,49,0.00384,0,0
1.00067,23.4267,398.236,0.0146117,23.411,124.014,82.6761,1.00365,2.92454,1.99504,50,50,0.00392,0,0
1.00072,23.4268,398.262,0.0146768,23.4099,124.054,82.7023,1.00392,2.92473,1.99468,51,51,0.004,0,0
1.00078,23.4268,398.29,0.0147468,23.4086,124.096,82.7305,1.00421,2.92494,1.99428,52,52,0.00408,0,0
1.00083,23.4268,398.321,0.0148218,23.4073,124.141,82.7608,1.00452,2.92517,1.99387,53,53,0.00416,0,0
1.00089,23.4268,398.353,0.0149023,23.4059,124.19,82.7933,1.00485,2.92541,1.99342,54,54,0.00424,0,0
1.00096,23.4269,398.388,0.0149886,23.4044,124.242,82.8281,1.00521,2.92567,1.99293,55,55,0.00432,0,0
1.00103,23.4269,398.425,0.0150813,23.4028,124.298,82.8655,1.00559,2.92595,1.99242,56,56,0.0044,0,0
1.00111,23.4269,398.465,0.0151807,23.401,124.358,82.9056,1.006,2.92625,1.99186,57,57,0.00448,0,0
1.00119,23.427,398.508,0.0152873,23.3992,124.423,82.9486,1.00644,2.92657,1.99127,58,58,0.00456,0,0
1.00128,23.427,398.555,0.0154017,23.3971,124.492,82.9948,1.00691,2.92691,1.99063,59,59,0.00464,0,0
1.00137,23.427,398.604,0.0155245,23.395,124.566,83.0443,1.00742,2.92728,1.98994,60,60,0.00472,0,0
1.00147,23.4271,398.657,0.0156562,23.3927,124.646,83.0975,1.00796,2.92767,1.98921,61,61,0.0048,0,0
1.00158,23.4271,398.714,0.0157975,23.3902,124.732,83.1545,1.00854,2.9281,1.98842,62,62,0.00488,0,0
1.00169,23.4272,398.775,0.015949,23.3875,124.824,83.2157,1.00917,2.92855,1.98758,63,63,0.00496,0,0
1.00182,23.4272,398.841,0.0161117,23.3847,124.922,83.2814,1.00984,2.92904,1.98668,64,64,0.00504,0,0
1.00195,23.4273,398.912,0.0162861,23.3816,125.028,83.3519,1.01056,2.92956,1.98571,65,65,0.00512,0,0
1.0021,23.4273,398.987,0.0164732,23.3783,125.141,83.4275,1.01133,2.93012,1.98467,66,66,0.0052,0,0
1.00225,23.4274,399.068,0.016674,23.3748,125.263,83.5087,1.01216,2.93072,1.98356,67,67,0.00528,0,0
1.00242,23.4275,399.155,0.0168893,23.371,125.394,83.5958,1.01305,2.93136,1.98237,68,68,0.00536,0,0
1.00259,23.4276,399.249,0.0171203,23.3669,125.534,83.6892,1.014,2.93205,1.98109,69,69,0.00544,0,0
