"jump_grad_press","jump_grad_dens","diffusion_aux","sigma_a_aux","sigma_t_aux","mu_max","kappa_max","mu","kappa","ObjectId","GlobalElementId","PedigreeElementId"
0.0253571,6.42354,0.117132,390.712,853.144,9.36846e-07,1.71783e-06,1.77145e-09,1.77145e-09,0,44,44
0.0254002,6.44245,0.117132,390.712,853.144,9.36842e-07,1.71783e-06,1.77198e-09,1.77198e-09,0,45,45
0.0254507,6.46182,0.117132,390.712,853.144,9.36837e-07,1.71783e-06,1.78126e-09,1.78126e-09,0,46,46
0.0254943,6.48093,0.117132,390.712,853.144,9.36833e-07,1.71783e-06,1.78158e-09,1.78158e-09,0,47,47
0.0255459,6.50053,0.117132,390.712,853.144,9.36828e-07,1.71782e-06,1.79118e-09,1.79118e-09,0,48,48
0.0255901,6.51985,0.117132,390.712,853.144,9.36823e-07,1.71782e-06,1.79129e-09,1.79129e-09,0,49,49
0.0256428,6.53968,0.117132,390.712,853.144,9.36818e-07,1.71782e-06,1.80123e-09,1.80123e-09,0,50,50
0.0256876,6.5592,0.117132,390.712,853.144,9.36813e-07,1.71782e-06,1.8011e-09,1.8011e-09,0,51,51
0.0257414,6.57927,0.117132,390.712,853.144,9.36808e-07,1.71782e-06,1.81141e-09,1.81141e-09,0,52,52
0.0257869,6.59901,0.117132,390.712,853.144,9.36802e-07,1.71781e-06,1.81104e-09,1.81104e-09,0,53,53
0.025842,6.61933,0.117132,390.712,853.144,9.36797e-07,1.71781e-06,1.82172e-09,1.82172e-09,0,54,54
0.0258881,6.63928,0.117132,390.712,853.144,9.36791e-07,1.71781e-06,1.82109e-09,1.82109e-09,0,55,55
0.0259445,6.65985,0.117132,390.712,853.144,9.36785e-07,1.71781e-06,1.83216e-09,1.83216e-09,0,56,56
0.0259914,6.68003,0.117132,390.712,853.144,9.36779e-07,1.7178e-06,1.83126e-09,1.83126e-09,0,57,57
0.0260491,6.70086,0.117132,390.712,853.144,9.36773e-07,1.7178e-06,1.84275e-09,1.84275e-09,0,58,58
0.0260967,6.72127,0.117132,390.712,853.144,9.36766e-07,1.7178e-06,1.84155e-09,1.84155e-09,0,59,59
0.0261559,6.74236,0.117132,390.712,853.144,9.36759e-07,1.7178e-06,1.85348e-09,1.85348e-09,0,60,60
0.0262043,6.76301,0.117132,390.712,853.144,9.36753e-07,1.71779e-06,1.85197e-09,1.85197e-09,0,61,61
0.026265,6.78438,0.117132,390.712,853.144,9.36746e-07,1.71779e-06,1.86437e-09,1.86437e-09,0,62,62
0.0263143,6.80527,0.117132,390.712,853.144,9.36738e-07,1.71779e-06,1.86252e-09,1.86252e-09,0,63,63
0.0263766,6.82692,0.117132,390.712,853.144,9.36731e-07,1.71778e-06,1.87541e-09,1.87541e-09,0,64,64
0.0264267,6.84805,0.117132,390.712,853.144,9.36723e-07,1.71778e-06,1.87321e-09,1.87321e-09,0,65,65
0.0264907,6.87,0.117132,390.712,853.144,9.36715e-07,1.71778e-06,1.88661e-09,1.88661e-09,0,66,66
