"rho","rhou","rhoE","epsilon","velocity","internal_energy","pressure","temperature","rad_temp","mach_number","GlobalNodeId","PedigreeNodeId","Points:0","Points:1","Points:2"
1.00027,0.140559,0.0222302,1.37478e-06,0.140521,0.0123544,0.0082363,0.100026,1.6432,1.19952,46,46,0.0018,0,0
1.00021,0.140559,0.0222306,1.37485e-06,0.14053,0.0123542,0.00823614,0.10003,1.64321,1.19958,47,47,0.00184,0,0
1.00028,0.140559,0.0222304,1.37493e-06,0.14052,0.0123547,0.00823649,0.100027,1.6432,1.1995,48,48,0.00188,0,0
1.00022,0.140559,0.0222308,1.37501e-06,0.140529,0.0123545,0.00823634,0.100031,1.64322,1.19956,49,49,0.00192,0,0
1.00029,0.140559,0.0222306,1.37509e-06,0.140518,0.012355,0.0082367,0.100028,1.64321,1.19948,50,50,0.00196,0,0
1.00023,0.140559,0.022231,1.37518e-06,0.140527,0.0123548,0.00823655,0.100033,1.64322,1.19953,51,51,0.002,0,0
1.0003,0.140559,0.0222308,1.37526e-06,0.140517,0.0123554,0.00823691,0.10003,1.64321,1.19946,52,52,0.00204,0,0
1.00024,0.140559,0.0222312,1.37535e-06,0.140526,0.0123552,0.00823677,0.100034,1.64323,1.19951,53,53,0.00208,0,0
1.00031,0.140559,0.022231,1.37545e-06,0.140515,0.0123557,0.00823715,0.100031,1.64322,1.19944,54,54,0.00212,0,0
1.00025,0.140559,0.0222315,1.37554e-06,0.140524,0.0123555,0.00823701,0.100036,1.64324,1.19949,55,55,0.00216,0,0
1.00032,0.140559,0.0222313,1.37564e-06,0.140513,0.0123561,0.00823739,0.100033,1.64323,1.19941,56,56,0.0022,0,0
1.00026,0.140559,0.0222317,1.37574e-06,0.140522,0.0123559,0.00823726,0.100038,1.64324,1.19946,57,57,0.00224,0,0
1.00034,0.140559,0.0222315,1.37584e-06,0.140511,0.0123565,0.00823765,0.100035,1.64323,1.19939,58,58,0.00228,0,0
1.00028,0.140559,0.022232,1.37594e-06,0.14052,0.0123563,0.00823752,0.100039,1.64325,1.19943,59,59,0.00232,0,0
1.00035,0.140559,0.0222318,1.37605e-06,0.140509,0.0123569,0.00823792,0.100037,1.64324,1.19936,60,60,0.00236,0,0
1.00029,0.140559,0.0222323,1.37616e-06,0.140518,0.0123567,0.0082378,0.100041,1.64326,1.19941,61,61,0.0024,0,0
1.00036,0.140559,0.0222321,1.37628e-06,0.140507,0.0123573,0.00823821,0.100039,1.64325,1.19933,62,62,0.00244,0,0
1.0003,0.140559,0.0222326,1.3764e-06,0.140516,0.0123571,0.0082381,0.100044,1.64327,1.19937,63,63,0.00248,0,0
1.00038,0.140559,0.0222324,1.37652e-06,0.140505,0.0123578,0.00823852,0.100041,1.64326,1.1993,64,64,0.00252,0,0
1.00032,0.140559,0.0222329,1.37664e-06,0.140514,0.0123576,0.00823842,0.100046,1.64328,1.19934,65,65,0.00256,0,0
1.0004,0.140559,0.0222327,1.37677e-06,0.140503,0.0123583,0.00823884,0.100043,1.64327,1.19926,66,66,0.0026,0,0
1.00034,0.140559,0.0222332,1.3769e-06,0.140512,0.0123581,0.00823875,0.100048,1.64329,1.19931,67,67,0.00264,0,0
1.00041,0.140559,0.0222331,1.37704e-06,0.1405,0.0123588,0.00823919,0.100046,1.64328,1.19923,68,68,0.00268,0,0
1.00035,0.140559,0.0222336,1.37718e-06,0.140509,0.0123587,0.0082391,0.100051,1.6433,1.19927,69,69,0.00272,0,0
1.00043,0.140559,0.0222334,1.37732e-06,0.140498,0.0123593,0.00823955,0.100048,1.64329,1.19919,70,70,0.00276,0,0
1.00037,0.140559,0.0222339,1.37747e-06,0.140507,0.0123592,0.00823948,0.100053,1.64331,1.19923,71,71,0.0028,0,0
1.00045,0.140559,0.0222338,1.37762e-06,0.140495,0.0123599,0.00823994,0.100051,1.6433,1.19915,72,72,0.00284,0,0
1.00039,0.140559,0.0222343,1.37778e-06,0.140504,0.0123598,0.00823987,0.100056,1.64332,1.19919,73,73,0.00288,0,0
1.00047,0.140559,0.0222342,1.37794e-06,0.140492,0.0123605,0.00824035,0.100054,1.64331,1.19911,74,74,0.00292,0,0
1.00041,0.140559,0.0222348,1.3781e-06,0.140501,0.0123604,0.00824029,0.100059,1.64333,1.19915,75,75,0.00296,0,0
1.0005,0.140559,0.0222347,1.37828e-06,0.140489,0.0123612,0.00824078,0.100057,1.64332,1.19906,76,76,0.003,0,0
1.00044,0.140559,0.0222352,1.37845e-06,0.140498,0.0123611,0.00824073,0.100062,1.64335,1.1991,77,77,0.00304,0,0
1.00052,0.140559,0.0222351,1.37863e-06,0.140486,0.0123619,0.00824124,0.10006,1.64334,1.19901,78,78,0.00308,0,0
1.00046,0.140559,0.0222357,1.37882e-06,0.140494,0.0123618,0.0082412,0.100066,1.64336,1.19905,79,79,0.00312,0,0
1.00054,0.140559,0.0222356,1.37901e-06,0.140482,0.0123626,0.00824172,0.100064,1.64335,1.19896,80,80,0.00316,0,0
1.00049,0.140559,0.0222362,1.3792e-06,0.140491,0.0123626,0.0082417,0.100069,1.64337,1.199,81,81,0.0032,0,0
1.00057,0.140559,0.0222361,1.3794e-06,0.140479,0.0123634,0.00824224,0.100067,1.64337,1.19891,82,82,0.00324,0,0
1.00051,0.140559,0.0222367,1.37961e-06,0.140487,0.0123633,0.00824223,0.100073,1.64339,1.19895,83,83,0.00328,0,0
1.0006,0.140559,0.0222366,1.37982e-06,0.140475,0.0123642,0.00824278,0.100071,1.64338,1.19886,84,84,0.00332,0,0
1.00054,0.140559,0.0222373,1.38004e-06,0.140483,0.0123642,0.00824278,0.100077,1.64341,1.19889,85,85,0.00336,0,0
1.00063,0.140559,0.0222372,1.38027e-06,0.140471,0.012365,0.00824335,0.100075,1.6434,1.1988,86,86,0.0034,0,0
1.00057,0.140559,0.0222378,1.3805e-06,0.140479,0.0123651,0.00824337,0.100081,1.64342,1.19883,87,87,0.00344,0,0
1.00066,0.140559,0.0222378,1.38074e-06,0.140466,0.0123659,0.00824396,0.100079,1.64342,1.19873,88,88,0.00348,0,0
1.0006,0.140559,0.0222385,1.38099e-06,0.140474,0.012366,0.008244,0.100086,1.64344,1.19877,89,89,0.00352,0,0
1.00069,0.140559,0.0222385,1.38124e-06,0.140462,0.0123669,0.0082446,0.100084,1.64343,1.19867,90,90,0.00356,0,0
1.00063,0.140559,0.0222391,1.3815e-06,0.14047,0.012367,0.00824466,0.10009,1.64346,1.1987,91,91,0.0036,0,0
1.00073,0.140559,0.0222392,1.38177e-06,0.140457,0.0123679,0.00824529,0.100089,1.64345,1.1986,92,92,0.00364,0,0
