"jump_grad_press","jump_grad_dens","mu_max","kappa_max","mu","kappa","ObjectId","GlobalElementId","PedigreeElementId"
3239.68,2.28306,0.000156154,0.000234301,9.29341e-07,9.29341e-07,0,72,72
3251.39,2.21638,0.000156153,0.000234302,9.39518e-07,9.39518e-07,0,73,73
3263.8,2.15035,0.000156151,0.000234302,9.30898e-07,9.30898e-07,0,74,74
3275.65,2.08264,0.00015615,0.000234303,9.41752e-07,9.41752e-07,0,75,75
3288.27,2.01566,0.000156148,0.000234303,9.32446e-07,9.32446e-07,0,76,76
3300.27,1.94689,0.000156146,0.000234304,9.44028e-07,9.44028e-07,0,77,77
3313.09,1.87895,0.000156145,0.000234305,9.33984e-07,9.33984e-07,0,78,78
3325.25,1.80912,0.000156143,0.000234305,9.46346e-07,9.46346e-07,0,79,79
3338.28,1.7402,0.000156141,0.000234306,9.35511e-07,9.35511e-07,0,80,80
3350.59,1.66929,0.000156139,0.000234307,9.4871e-07,9.4871e-07,0,81,81
3363.83,1.59938,0.000156137,0.000234308,9.37025e-07,9.37025e-07,0,82,82
3376.31,1.52738,0.000156135,0.000234309,9.51121e-07,9.51121e-07,0,83,83
3389.77,1.45648,0.000156133,0.000234309,9.38524e-07,9.38524e-07,0,84,84
3402.41,1.38336,0.000156131,0.00023431,9.53583e-07,9.53583e-07,0,85,85
3416.1,1.31146,0.000156129,0.000234311,9.40008e-07,9.40008e-07,0,86,86
3428.9,1.23721,0.000156127,0.000234312,9.56099e-07,9.56099e-07,0,87,87
3442.83,1.16431,0.000156124,0.000234313,9.41472e-07,9.41472e-07,0,88,88
3455.8,1.08891,0.000156122,0.000234314,9.5867e-07,9.5867e-07,0,89,89
3469.97,1.01498,0.000156119,0.000234315,9.42917e-07,9.42917e-07,0,90,90
3483.11,0.938419,0.000156117,0.000234316,9.61302e-07,9.61302e-07,0,91,91
3497.54,0.863472,0.000156114,0.000234317,9.44339e-07,9.44339e-07,0,92,92
3510.85,0.785726,0.000156111,0.000234319,9.63997e-07,9.63997e-07,0,93,93
3525.54,0.709748,0.000156108,0.00023432,9.45736e-07,9.45736e-07,0,94,94
3539.02,0.630804,0.000156105,0.000234321,9.66759e-07,9.66759e-07,0,95,95
3553.98,0.55379,0.000156102,0.000234322,9.47106e-07,9.47106e-07,0,96,96
3567.65,0.473629,0.000156099,0.000234324,9.69593e-07,9.69593e-07,0,97,97
3582.89,0.395574,0.000156095,0.000234325,9.48447e-07,9.48447e-07,0,98,98
3596.73,0.314178,0.000156092,0.000234327,9.72503e-07,9.72503e-07,0,99,99
3612.27,0.235081,0.000156088,0.000234328,9.49755e-07,9.49755e-07,0,100,100
3626.3,0.15243,0.000156084,0.00023433,9.75493e-07,9.75493e-07,0,101,101
3642.14,0.0722563,0.00015608,0.000234331,9.51027e-07,9.51027e-07,0,102,102
3656.37,0.0882412,0.000156076,0.000234333,9.82021e-07,9.82021e-07,0,103,103
3672.53,0.0936784,0.000156072,0.000234334,9.58704e-07,9.58704e-07,0,104,104
3686.94,0.18003,0.000156068,0.000234336,9.94128e-07,9.94128e-07,0,105,105
3703.42,0.26409,0.000156063,0.000234338,9.71609e-07,9.71609e-07,0,106,106
3718.02,0.353161,0.000156059,0.00023434,1.00924e-06,1.00924e-06,0,107,107
3734.85,0.439751,0.000156054,0.000234342,9.84733e-07,9.84733e-07,0,108,108
3749.65,0.531672,0.000156049,0.000234344,1.02473e-06,1.02473e-06,0,109,109
3766.82,0.620883,0.000156044,0.000234346,9.98079e-07,9.98079e-07,0,110,110
3781.83,0.715768,0.000156038,0.000234348,1.04061e-06,1.04061e-06,0,111,111
3799.38,0.807692,0.000156033,0.000234351,1.01165e-06,1.01165e-06,0,112,112
3814.59,0.905656,0.000156027,0.000234353,1.05689e-06,1.05689e-06,0,113,113
3832.53,1.00039,0.000156021,0.000234355,1.02546e-06,1.02546e-06,0,114,114
3847.96,1.10156,0.000156015,0.000234358,1.07359e-06,1.07359e-06,0,115,115
3866.31,1.1992,0.000156008,0.00023436,1.0395e-06,1.0395e-06,0,116,116
3881.96,1.30369,0.000156002,0.000234363,1.09072e-06,1.09072e-06,0,117,117
3900.74,1.40434,0.000155995,0.000234366,1.05377e-06,1.05377e-06,0,118,118
3916.61,1.51229,0.000155988,0.000234369,1.10831e-06,1.10831e-06,0,119,119
3935.85,1.61605,0.00015598,0.000234372,1.06829e-06,1.06829e-06,0,120,120
3951.96,1.72759,0.000155973,0.000234375,1.12636e-06,1.12636e-06,0,121,121
3971.67,1.83457,0.000155965,0.000234378,1.08306e-06,1.08306e-06,0,122,122
3988.03,1.94985,0.000155957,0.000234381,1.14492e-06,1.14492e-06,0,123,123
4008.25,2.06015,0.000155948,0.000234385,1.09808e-06,1.09808e-06,0,124,124
4024.87,2.1793,0.000155939,0.000234388,1.16398e-06,1.16398e-06,0,125,125
4045.63,2.29303,0.00015593,0.000234392,1.11336e-06,1.11336e-06,0,126,126
4062.52,2.4162,0.000155921,0.000234396,1.18358e-06,1.18358e-06,0,127,127
4083.84,2.53348,0.000155911,0.0002344,1.1289e-06,1.1289e-06,0,128,128
4101.02,2.66081,0.000155901,0.000234404,1.20374e-06,1.20374e-06,0,129,129
