"epsilon","mach_number","pressure","rad_temp","rho","rhoE","rhou","temperature","GlobalNodeId","PedigreeNodeId","Points:0","Points:1","Points:2"
1.6531341138945032497e-05,2.9999328405673630904,0.099160904208958608463,0.18631099884290705515,5.5165848901045855257,0.89244790894138981141,2.864514050210382301,0.18629828455188121583,1,1,-0.016003377735614776611,0,0
1.653134371186726123e-05,2.9999322969895039215,0.09916093789981950124,0.1863110060922233413,5.5165850146649715313,0.89244794263859239525,2.8645140501203583128,0.18629834364201827701,2,2,-0.015973366796970367432,0,0
1.6531350333296587697e-05,2.9999317549571240527,0.099160971493807287258,0.18631102474837429872,5.5165851390216422701,0.89244797623820515398,2.8645140500693440089,0.18629840255703211671,3,3,-0.015943353995680809021,0,0
1.6531360990726174021e-05,2.9999312139774683139,0.099161005021466797071,0.18631105477611109578,5.5165852632869594174,0.89244800977078142523,2.8645140500571142361,0.18629846135051433831,4,4,-0.015913343057036399841,0,0
1.6531375675322862472e-05,2.9999306735609621022,0.099161038513144728057,0.18631109615052951489,5.5165853875726984512,0.89244804326667548366,2.8645140500834833652,0.18629852007570388284,5,5,-0.015883330255746841431,0,0
1.6531394381902503093e-05,2.999930133220766848,0.099161071999017358358,0.18631114885700034156,5.5165855119901401338,0.89244807675607107367,2.8645140501482995177,0.18629857878553651718,6,6,-0.015853319317102432251,0,0
1.6531417108908716889e-05,2.9999295924723274887,0.099161105509118399604,0.18631121289110957884,5.5165856366501762054,0.89244811026900727757,2.8645140502514445657,0.18629863753269290672,7,7,-0.01582330651581287384,0,0
1.6531443858394938729e-05,2.9999290508329425897,0.099161139073365836549,0.18631128825860779341,5.5165857616634106364,0.89244814383540838065,2.864514050392836797,0.18629869636964632718,8,8,-0.015793295577168464661,0,0
1.6531474636009858544e-05,2.999928507821295387,0.099161172721590834511,0.18631137497536906511,5.5165858871402599917,0.89244817748511051647,2.8645140505724282498,0.18629875534871306875,9,9,-0.01576328277587890625,0,0
1.6531509450986067695e-05,2.9999279629570461125,0.099161206483563080205,0.18631147306735884595,5.5165860131910520181,0.89244821124788709099,2.8645140507902047133,0.18629881452209698378,10,10,-0.01573327183723449707,0,0
1.6531548316132035881e-05,2.9999274157603790236,0.099161240389019064678,0.18631158257061133932,5.5165861399261322262,0.8924482451534797578,2.8645140510461906125,0.18629887394193894723,11,11,-0.01570325903594493866,0,0
1.6531591247827283049e-05,2.9999268657515711922,0.09916127446768836784,0.18631170353121559446,5.5165862674559518197,0.89244827923162006744,2.8645140513404387939,0.18629893366036329172,12,12,-0.01567324809730052948,0,0
1.65316382660208073e-05,2.9999263124505763933,0.099161308749319901357,0.18631183600531106559,5.5165863958911698361,0.89244831351206033165,2.8645140516730402958,0.1862989937295235765,13,13,-0.015643235296010971069,0,0
1.6531689394232684088e-05,2.9999257553765699136,0.099161343263709719742,0.18631198005909183069,5.5165865253427552872,0.89244834802459804823,2.8645140520441172427,0.18629905420165146501,14,14,-0.01561322435736656189,0,0
1.6531744659558894308e-05,2.9999251940475484268,0.099161378040726208538,0.18631213576881999749,5.5165866559220857468,0.89244838279910343459,2.8645140524538290627,0.18629911512910077298,15,15,-0.015583212487399578094,0,0
1.6531804092679303346e-05,2.9999246279798819081,0.09916141311033754846,0.1863123032208478802,5.5165867877410361686,0.89244841786554474083,2.8645140529023644937,0.18629917656439592966,16,16,-0.015553200617432594299,0,0
1.6531867727868841916e-05,2.9999240566879001868,0.099161448502637444813,0.18631248251164925223,5.5165869209120836913,0.89244845325401611635,2.8645140533899491331,0.18629923856027685858,17,17,-0.015523188747465610504,0,0
1.6531935603011831077e-05,2.9999234796834746142,0.099161484247871189979,0.18631267374785934199,5.5165870555484080029,0.89244848899476225679,2.8645140539168418847,0.18629930116974455223,18,18,-0.015493176877498626709,0,0
