"epsilon","mach_number","pressure","rad_temp","rho","rhoE","rhou","temperature","GlobalNodeId","PedigreeNodeId","Points:0","Points:1","Points:2"
1.3720172000008600368e-06,2.9999431201124999724,0.0096485331717824657921,0.10000000000001567357,0.99999999810800066502,0.086836798464996270419,0.38043133038804766155,0.10000000000416107981,1,1,-0.016003377735614776611,0,0
1.3720171999987869237e-06,2.9999431234735887131,0.0096485332074834166682,0.099999999999977898235,1.0000000018919541489,0.086836798948445620416,0.38043133223784253438,0.099999999995780020079,2,2,-0.015984550118446350098,0,0
1.3720172000009604102e-06,2.9999431201104447275,0.0096485331717948898816,0.10000000000001750544,0.99999999810809381273,0.086836798465008926962,0.38043133038804965995,0.10000000000428052593,3,3,-0.015965722501277923584,0,0
1.3720171999988104288e-06,2.9999431234756723796,0.0096485332074708243105,0.099999999999978328447,1.0000000018918637767,0.086836798948432825096,0.38043133223784136865,0.099999999995658533924,4,4,-0.01594689488410949707,0,0
1.3720172000010334668e-06,2.9999431201083530674,0.0096485331718075013213,0.10000000000001883771,0.99999999810817807866,0.086836798465021541871,0.38043133038804910484,0.100000000004402817,5,5,-0.015928067266941070557,0,0
1.3720171999988123346e-06,2.999943123477799567,0.0096485332074580393985,0.099999999999978356202,1.0000000018917825084,0.086836798948420390598,0.38043133223784364461,0.09999999999553416119,6,6,-0.015909241512417793274,0,0
1.372017200001091065e-06,2.9999431201061677044,0.0096485331718206748114,0.10000000000001987854,0.99999999810827167046,0.086836798465034670258,0.38043133038804949342,0.10000000000452999305,7,7,-0.01589041389524936676,0,0
1.3720171999987985704e-06,2.999943123480004914,0.0096485332074446612111,0.099999999999978106402,1.0000000018916781475,0.08683679894840638791,0.38043133223783970331,0.099999999995405944309,8,8,-0.015871586278080940247,0,0
1.372017200001136593e-06,2.9999431201039539197,0.0096485331718340529988,0.10000000000002071121,0.99999999810836326386,0.086836798465048242734,0.38043133038804982649,0.10000000000465948669,9,9,-0.015852758660912513733,0,0
1.3720171999987740064e-06,2.9999431234822657721,0.0096485332074310974082,0.099999999999977662313,1.0000000018915951028,0.086836798948393384423,0.38043133223784320052,0.099999999995273661235,10,10,-0.015833931043744087219,0,0
1.3720172000011766154e-06,2.999943120101665528,0.0096485331718477920088,0.10000000000002144673,0.99999999810845086046,0.0868367984650615099,0.38043133038804721746,0.1000000000047931159,11,11,-0.015815103426575660706,0,0
1.3720171999987443602e-06,2.9999431234845923555,0.0096485332074170721689,0.099999999999977121079,1.0000000018914985134,0.086836798948379395613,0.38043133223784336705,0.099999999995137964226,12,12,-0.015796275809407234192,0,0
1.3720172000012140966e-06,2.9999431200993029734,0.009648533171862049701,0.10000000000002212674,0.9999999981085511136,0.086836798465075831777,0.38043133038804771706,0.10000000000493086683,13,13,-0.015777448192238807678,0,0
1.3720171999987102672e-06,2.9999431234869864404,0.0096485332074026392696,0.099999999999976496579,1.0000000018913979272,0.086836798948365004347,0.38043133223784331154,0.099999999994998436947,14,14,-0.015758620575070381165,0,0
1.3720172000012494602e-06,2.9999431200968937894,0.0096485331718765745407,0.10000000000002276512,0.99999999810865003447,0.086836798465090320187,0.38043133038804732848,0.10000000000507150433,15,15,-0.015739792957901954651,0,0
1.3720171999986732095e-06,2.9999431234894302634,0.0096485332073879097325,0.099999999999975830445,1.0000000018912982291,0.086836798948350321647,0.38043133223784386665,0.099999999994855745533,16,16,-0.015720965340733528137,0,0
1.3720172000012835533e-06,2.9999431200944095544,0.0096485331718915174487,0.10000000000002338962,0.99999999810874518058,0.086836798465104975131,0.38043133038804505253,0.10000000000521687415,17,17,-0.015702137723565101624,0,0
1.3720171999986319166e-06,2.9999431234919637923,0.0096485332073726996771,0.099999999999975081044,1.0000000018912025279,0.086836798948335680581,0.38043133223784714181,0.099999999994707683415,18,18,-0.01568331010639667511,0,0
1.3720172000013163758e-06,2.9999431200918404983,0.0096485331719070137335,0.10000000000002398637,0.99999999810885498164,0.086836798465120490498,0.38043133038804560764,0.10000000000536649059,19,19,-0.015664482489228248596,0,0
1.3720171999985874474e-06,2.9999431234945412861,0.0096485332073571843103,0.099999999999974262255,1.0000000018911026078,0.086836798948320401137,0.38043133223784914021,0.099999999994556859617,20,20,-0.015645654872059822083,0,0
1.3720172000013455984e-06,2.9999431200892194838,0.0096485331719227789005,0.1000000000000245276,0.99999999810895567887,0.08683679846513590872,0.38043133038804310964,0.10000000000551982626,21,21,-0.015626827254891395569,0,0
1.3720171999985364137e-06,2.9999431234972324667,0.0096485332073409472986,0.099999999999973332443,1.0000000018909858124,0.086836798948304094736,0.3804313322378480855,0.099999999994400248782,22,22,-0.015608000569045543671,0,0
1.3720172000013735505e-06,2.9999431200865247504,0.0096485331719390436678,0.1000000000000250272,0.99999999810906881059,0.086836798465152298387,0.38043133038804360924,0.10000000000567708935,23,23,-0.015589172951877117157,0,0
1.3720171999984845329e-06,2.9999431234999938134,0.009648533207324257524,0.099999999999972388753,1.0000000018908659083,0.086836798948287122202,0.38043133223784647567,0.099999999994239266443,24,24,-0.015570345334708690643,0,0
1.3720172000014042555e-06,2.9999431200837265443,0.0096485331719558999758,0.10000000000002558231,0.99999999810918360765,0.086836798465168993366,0.38043133038804283208,0.10000000000584030602,25,25,-0.01555151771754026413,0,0
1.3720171999984339227e-06,2.9999431235028533038,0.0096485332073070386588,0.099999999999971472819,1.0000000018907475585,0.086836798948270121912,0.38043133223784714181,0.099999999994072649723,26,26,-0.015532691031694412231,0,0
