nb_cells  x_offset 
200 1.4058e-03
300 1.3801e-03
400 1.3751e-03
500 1.3688e-03
600 1.3624e-03
700 1.3587e-03
800 1.3566e-03
900 1.3553e-03
1000 1.3536e-03
1100 1.3525e-03
1200 1.3509e-03
1300 1.3501e-03
1400 1.3493e-03
1500 1.3494e-03
1600 1.3482e-03
1700 1.3479e-03
1800 1.3469e-03
1900 1.3465e-03
2000 1.3466e-03
